Org Code,Action,Register Number,Award Number,Institution,City,State,Zip Code,Principal Investigator,Total Funding Planned,Total Funding to Date,Project Start Date,Project End Date,Most Recent Award Date,Title,Award Type,Program Manager,Institution Type
SC-22.12,No-Cost Extension,ER14853,DE-FG02-98ER14853,FLORIDA UNIVERSITY OF                            ,Gainesville,FL,32611-5500,"Ladd, Anthony",0,0,9/1/09,2/28/13,5/15/12,Reaction-Infiltration Instabilities in Fractured and Porous Rocks,Grant,"Woodward, Nicholas",Educational
SC-22.11,Renewal,ER14879,DE-FG02-98ER14879,CALIFORNIA UNIV. OF SAN DIEGO                    ,La Jolla,CA,92093-0934,"Continetti, Robert",500000,500000,11/1/10,10/31/13,11/23/10,Dynamics and Energetics of Elementary Combustion Reactions and Transient Species,Grant,"Sisk, Wade",Educational
SC-22.12,Renewal,ER14882,DE-FG02-98ER14882,YALE UNIVERSITY                                   ,New Haven,CT,06520-8337,"Altman, Eric",480000,320000,7/15/11,7/14/14,9/23/11,Structure-Reactivity Relationships in Multi-Componenet Transition Metal Oxide Catalysts,Grant,"Miranda, Raul",Educational
SC-22.12,Renewal,ER14888,DE-FG02-98ER14888,MARYLAND UNIVERSITY OF COLLEGE PARK              ,College Park,MD,20742-5141,"Davis, Jeffery",465000,310000,5/1/12,4/30/15,6/29/12,Self-Assembled Ionophores and Membrane Active Transporters,Grant,"Rahn, Larry",Educational
SC-22.12,Renewal,ER14890,DE-FG02-98ER14890,INDIANA UNIVERSITY BLOOMINGTON                   ,Bloomington,IN,47402-1847,"Hieftje, Gary",435000,435000,12/15/10,12/14/13,3/18/11,Elucidation and Reduction of Interference Effects in Inductively Coupled Plasma Spectrometry,Grant,"Rahn, Larry",Educational
SC-22.12,Renewal,ER14907,DE-FG02-98ER14907,MICHIGAN STATE UNIVERSITY                         ,East Lansing,MI,48824-1046,"Bruening, Merlin",516000,521097,8/1/10,7/31/13,9/20/10,Separations of Stable Isotopic Ions in Homogenous Highly Charged Nanopores,Grant,"Rahn, Larry",Educational
SC-22.11,Renewal,ER14914,DE-FG02-98ER14914,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Green, Jr., William",240000,240000,12/15/10,12/14/13,1/25/11,Computer-Aided Construction of Chemical Kinetic Models,Grant,"Pederson, Mark",Educational
SC-22.11,Renewal,ER14982,DE-FG02-99ER14982,COLORADO UNIVERSITY OF                           ,Boulder,CO,80303-1058,"Kapteyn, Henry",900000,600000,11/15/11,11/14/14,1/26/12,Molecular Dynamics Probed by Coherent Soft X-rays,Grant,"Krause, Jeffrey",Educational
SC-22.11,Renewal,ER14988,DE-FG02-99ER14988,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Tokmakoff, Andrei",1419000,1148000,11/1/10,2/28/15,11/23/10,Structural Dynamics in Complex Liquids Studied with Multidimensional Vibrational Spectroscopy,Grant,"Fiechtner, Gregory",Educational
SC-22.13,Renewal,ER14999,DE-FG02-99ER14999,NORTHWESTERN UNIVERSITY                           ,Evanston,IL,60208-1110,"Wasielewski, Michael",960000,320000,4/15/12,4/14/15,3/26/12,Approaches to Integrated Photochemical Systems for Solar Energy Conversion,Grant,"Spitler, Mark",Educational
SC-22.11,Renewal,ER15003,DE-FG02-99ER15003,UTAH UNIVERSITY OF                               ,Salt Lake City,UT,84112-8930,"Anderson, Scott",624000,624000,11/1/09,2/28/14,1/22/10,Model Catalysts by Size-Selected Cluster Deposition,Grant,"Fiechtner, Gregory",Educational
SC-22.12,Renewal,ER15004,DE-FG02-99ER15004,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Rothman, Daniel",550639,343018,1/15/12,1/14/13,12/21/11,Physics of Channelization: Theory and Observation,Grant,"Woodward, Nicholas",Educational
SC-22.12,No-Cost Extension,ER15034,DE-FG02-00ER15034,TEXAS ENGRNG EXPERIMNT STATION                    ,College Station,TX,77845-4645,"Datta-Gupta, Akhil",0,0,2/1/10,7/31/13,11/21/12,Time-Lapse Seismic Monitoring and Performance Assessment of C02 Sequestration in Hydrocarbon Reservoirs,Grant,"Woodward, Nicholas",Educational
SC-22.13,Renewal,ER15044,DE-FG02-00ER15044,NEBRASKA UNIVERSITY OF LINCOLN                   ,Lincoln,NE,68588-0430,"Spreitzer, Robert",495000,495000,5/1/10,4/30/13,8/30/10,Role of the Rubisco Small Subunit,Grant,"McLean, Barbara",Educational
SC-22.11,Renewal,ER15066,DE-FG02-00ER15066,PITTSBURGH UNIVERSITY OF                         ,Pittsburgh,PA,15260-6830,"Jordan, Kenneth",340000,110000,7/1/12,6/30/15,8/9/12,Critical Evaluation of Theoretical Models for Aqueous Chemistry and CO2 Activation in the Temperature-Controlled Cluster Regime,Grant,"Fiechtner, Gregory",Educational
